category,question_en,answer_en,question_fr,answer_fr
data,How do I download water level and flow data?,"<p>1. Go to the Download Data tab </p>
<p>2. Select a station by typing its name  or station number in the 'select station' boxes, or scrolling through the stations in the drop-down lists </p>
<p>3. Select the parameter you want ('Flow' or 'Level') </p>
<p>4. Select the year range you want by inputting a start year and end year in the 'For years from' boxes </p>
<p>5. Click the 'Download Data' button to download the data as a CSV file. This file is automatically downloaded to your computer. For Apple users, you may have to enable downloads for this website. </p>",,
data,Why can't I download the full date range I selected?,"The available year range automatically updates based on the selected station. This reflects the first and last years with recorded data. Note that this does not guarantee data exist for every year within that range as some stations may have gaps due to equipment failure, ice damage, seasonal operation, or funding changes.",,
data,"Where can I find additional information to help interpret the columns, and station metadata in the downloaded CSV?",You can view column descriptions and station details in the Quick Reference Materials section of the Download Data tab. Official station metadata is also available through the Water Survey of Canada HYDAT database.,,
data,"What station information is available, and where can I find it?","Station metadata, including station number, name, latitude, longitude, drainage area,operating schedule, variables measured, and date ranges, are available through the Water Survey of Canada HYDAT database. These metadata are also viewable from the Metadata tab.",,
data,Where can I download historical daily data?,"Historical daily water level and discharge data for each station are available through the Water Survey of Canada HYDAT database, which is updated annually.
This Explorer provides summary values and selected data available for download.",,
data,Where can I read the full data disclaimer and terms of use?,"See the Water Survey of Canada data terms and conditions on the Government of Canada website.
Additional terms of use specific to this Explorer are provided in the Data Disclaimer section of the Download Data tab.",,
methods_sites,How is water level measured?,"Water level (stage) is measured continuously at hydrometric stations using a combination of pressure transducers, float-driven sensors, and/or radar-based instruments. These instruments record water level at regular intervals (typically every 5 to 15 minutes) and transmit the data via satellite to the Water Survey of Canada. ",,
methods_sites,How is discharge (flow) calculated?,"Discharge is not measured directly on a continuous basis. Instead, WSC hydrometric technicians make periodic manual discharge measurements using current meters or Acoustic Doppler Current Profilers (ADCPs). These measurements are used to develop a stage-discharge relationship (rating curve) for each station. Continuous discharge values are then derived by applying the rating curve to the continuously recorded water level data. In northern rivers, ice formation significantly alters the stage-discharge relationship, requiring special methods to estimate winter discharge. In general, winter water level readings are more reliable than winter discharge readings.",,
methods_sites,How often are stations visited?,"WSC hydrometric stations in the NWT are typically visited several times per year for maintenance and discharge measurements. The frequency depends on the station's priority, accessibility, and the complexity of its hydrological conditions. Remote stations may rely more heavily on satellite telemetry between visits. Many stations are operated seasonally (open water only) due to the challenges and costs of winter monitoring in northern environments.",,
methods_sites,How were hydrometric stations selected?,"Station locations are selected based on a combination of factors, including the need to monitor water levels for flood forecasting, water supply, infrastructure operations, transboundary agreement commitments, and research. Some stations have been in operation since the 1930s, while others have been established more recently to address data gaps.",,
methods_sites,What happens to monitoring during winter?,"Many NWT rivers and lakes are ice-covered for six to eight months of the year. During this period, water level monitoring continues at many stations, but discharge estimation becomes more uncertain because ice alters the relationship between water level and flow. Some stations operate only during the open-water season. Data collected during ice-affected periods require more careful interpretation due to increased uncertainty.",,
map,Why are some stations on the water level map on some days but not in others?,"<p> The map dynamically updates to only show stations with available data within the past 24 hours. The stations shown on the map may change from day to day depending on which gauges (stations) have recently transmitted data.</p>
<p> There are several reasons why a station might not appear:</p>
<ul>
<li> <b>No recent data:</b> The station has not reported data within the past 24 hours</li>
<li> <b>Operation schedule:</b> Some stations are seasonal and only operate during certain times of the year</li>
<li> <b>Station status changes:</b> Stations may become inactive or decommissioned due to funding changes, equipment damange (e.g., from river ice), or program changes</li>
<li> <b>No real-time capability:</b> Some stations collect data but do not transmit it in real time (you can click on a station in the Metadata tab to view whether that station has real-time reporting capability</li>
</ul>
<p>For the most up-to-date station status, visit  <a href='https://wateroffice.ec.gc.ca/index_e.html' target='_blank'> Water Survey of Canada Real-Time Hydrometric Data </a> website.</p>",,
