"STATION_NUMBER","has_flow","has_level"
"07AA001",TRUE,TRUE
"07AA002",TRUE,TRUE
"07AA007",TRUE,TRUE
"07AC001",TRUE,TRUE
"07AC007",TRUE,TRUE
"07AC008",TRUE,TRUE
"07AD002",TRUE,TRUE
"07AE001",TRUE,FALSE
"07AF002",TRUE,TRUE
"07AF003",TRUE,TRUE
"07AF010",TRUE,TRUE
"07AF013",TRUE,TRUE
"07AF014",TRUE,TRUE
"07AF015",TRUE,TRUE
"07AG003",TRUE,TRUE
"07AG004",TRUE,TRUE
"07AG007",TRUE,TRUE
"07AG008",TRUE,TRUE
"07AH001",TRUE,TRUE
"07AH002",TRUE,TRUE
"07AH003",TRUE,TRUE
"07BA001",TRUE,TRUE
"07BA002",TRUE,TRUE
"07BA003",TRUE,TRUE
"07BB002",TRUE,TRUE
"07BB004",TRUE,TRUE
"07BB005",TRUE,TRUE
"07BB006",TRUE,TRUE
"07BB007",FALSE,TRUE
"07BB011",TRUE,TRUE
"07BB014",TRUE,TRUE
"07BB914",FALSE,TRUE
"07BC002",TRUE,TRUE
"07BC006",TRUE,TRUE
"07BC007",TRUE,TRUE
"07BE001",TRUE,TRUE
"07BE003",TRUE,TRUE
"07BE004",TRUE,TRUE
"07BF001",TRUE,TRUE
"07BF002",TRUE,TRUE
"07BF006",FALSE,TRUE
"07BF008",FALSE,TRUE
"07BF009",TRUE,TRUE
"07BF010",TRUE,TRUE
"07BF905",TRUE,TRUE
"07BG004",TRUE,TRUE
"07BH003",TRUE,TRUE
"07BJ001",TRUE,TRUE
"07BJ003",TRUE,TRUE
"07BJ006",FALSE,TRUE
"07BK001",TRUE,TRUE
"07BK005",TRUE,TRUE
"07BK007",TRUE,TRUE
"07BK008",FALSE,TRUE
"07BK009",TRUE,TRUE
"07CA003",TRUE,TRUE
"07CA004",FALSE,TRUE
"07CA005",TRUE,TRUE
"07CA006",TRUE,TRUE
"07CA008",TRUE,TRUE
"07CA012",TRUE,TRUE
"07CA013",TRUE,TRUE
"07CB001",FALSE,TRUE
"07CB002",TRUE,TRUE
"07CD001",TRUE,TRUE
"07CD004",TRUE,TRUE
"07CD005",TRUE,TRUE
"07CD008",TRUE,TRUE
"07CD009",TRUE,TRUE
"07CE001",FALSE,TRUE
"07CE002",TRUE,TRUE
"07CE003",TRUE,TRUE
"07CE005",TRUE,TRUE
"07CE007",TRUE,TRUE
"07CE008",TRUE,TRUE
"07CE010",TRUE,TRUE
"07CE013",TRUE,TRUE
"07CE906",FALSE,TRUE
"07DA001",TRUE,TRUE
"07DA006",TRUE,TRUE
"07DA007",TRUE,TRUE
"07DA008",TRUE,TRUE
"07DA018",TRUE,TRUE
"07DA023",FALSE,TRUE
"07DA024",FALSE,TRUE
"07DA025",FALSE,TRUE
"07DA026",TRUE,TRUE
"07DA027",TRUE,TRUE
"07DA028",TRUE,TRUE
"07DA029",TRUE,TRUE
"07DA030",TRUE,TRUE
"07DA032",TRUE,TRUE
"07DA033",TRUE,TRUE
"07DA034",TRUE,TRUE
"07DA035",TRUE,TRUE
"07DA037",TRUE,TRUE
"07DA038",TRUE,TRUE
"07DA039",TRUE,TRUE
"07DA040",TRUE,TRUE
"07DA041",TRUE,TRUE
"07DA042",TRUE,TRUE
"07DA044",TRUE,TRUE
"07DA045",TRUE,TRUE
"07DB001",TRUE,TRUE
"07DB002",TRUE,TRUE
"07DB003",TRUE,TRUE
"07DB006",TRUE,TRUE
"07DC001",TRUE,TRUE
"07DC003",TRUE,TRUE
"07DC004",TRUE,TRUE
"07DD001",TRUE,TRUE
"07DD002",TRUE,TRUE
"07DD003",TRUE,TRUE
"07DD007",FALSE,TRUE
"07DD011",FALSE,TRUE
"07EA004",TRUE,TRUE
"07EA005",TRUE,TRUE
"07EA007",TRUE,TRUE
"07EB002",TRUE,TRUE
"07EC002",TRUE,TRUE
"07EC003",TRUE,TRUE
"07EC004",TRUE,TRUE
"07ED001",TRUE,TRUE
"07ED003",TRUE,TRUE
"07EE007",TRUE,TRUE
"07EE009",TRUE,TRUE
"07EE010",TRUE,TRUE
"07EF002",FALSE,TRUE
"07EF003",FALSE,TRUE
"07EF004",TRUE,TRUE
"07FA003",TRUE,TRUE
"07FA004",TRUE,TRUE
"07FA005",TRUE,TRUE
"07FA006",TRUE,TRUE
"07FB001",TRUE,TRUE
"07FB002",TRUE,TRUE
"07FB003",TRUE,TRUE
"07FB004",TRUE,TRUE
"07FB006",TRUE,TRUE
"07FB008",TRUE,TRUE
"07FB009",TRUE,TRUE
"07FC001",TRUE,TRUE
"07FC003",TRUE,TRUE
"07FD001",TRUE,TRUE
"07FD002",TRUE,TRUE
"07FD003",TRUE,TRUE
"07FD006",TRUE,TRUE
"07FD007",TRUE,TRUE
"07FD009",TRUE,TRUE
"07FD010",TRUE,TRUE
"07FD011",TRUE,TRUE
"07FD012",TRUE,TRUE
"07FD013",TRUE,TRUE
"07FD019",TRUE,TRUE
"07FD020",TRUE,FALSE
"07FD901",FALSE,TRUE
"07FD908",TRUE,FALSE
"07FD910",TRUE,FALSE
"07FD934",FALSE,TRUE
"07GA001",TRUE,TRUE
"07GA002",TRUE,TRUE
"07GB001",TRUE,TRUE
"07GB003",TRUE,TRUE
"07GC002",TRUE,FALSE
"07GD001",TRUE,TRUE
"07GD004",TRUE,TRUE
"07GE001",TRUE,TRUE
"07GE002",TRUE,TRUE
"07GE003",TRUE,TRUE
"07GE007",TRUE,TRUE
"07GF001",TRUE,TRUE
"07GF008",TRUE,TRUE
"07GG001",TRUE,TRUE
"07GG002",TRUE,TRUE
"07GG003",TRUE,TRUE
"07GH002",TRUE,TRUE
"07GH003",FALSE,TRUE
"07GH004",TRUE,TRUE
"07GJ001",TRUE,TRUE
"07HA001",TRUE,TRUE
"07HA003",TRUE,TRUE
"07HA005",TRUE,TRUE
"07HA914",TRUE,FALSE
"07HB001",TRUE,TRUE
"07HC001",TRUE,TRUE
"07HC002",TRUE,TRUE
"07HC907",TRUE,FALSE
"07HD001",TRUE,TRUE
"07HF001",TRUE,TRUE
"07HF002",TRUE,TRUE
"07JA002",FALSE,TRUE
"07JA003",TRUE,TRUE
"07JC001",TRUE,TRUE
"07JC002",TRUE,TRUE
"07JC003",TRUE,TRUE
"07JD002",TRUE,TRUE
"07JD003",TRUE,TRUE
"07JD004",TRUE,TRUE
"07JF002",TRUE,TRUE
"07JF003",TRUE,TRUE
"07JF005",TRUE,TRUE
"07KC001",TRUE,TRUE
"07KC005",FALSE,TRUE
"07KE001",TRUE,TRUE
"07KF002",FALSE,TRUE
"07KF003",FALSE,TRUE
"07KF015",TRUE,TRUE
"07LB002",TRUE,TRUE
"07LE002",TRUE,TRUE
"07MA003",TRUE,TRUE
"07MB001",TRUE,TRUE
"07MC003",FALSE,TRUE
"07MD001",FALSE,TRUE
"07NA001",FALSE,TRUE
